ID;T_ID;T_Gen;T_sex;Month;Season;Year;Location;Beat;Prey_code_DV;P_Sp_code;P_species;Age_group;P_Sex_Code;P_Sex;Remarks;reserve_cl;reserve_nm;2km_OF_Village;250_OF_water
510;P111;2;1;5;S;2013;TARA;1352;W;7;WILDPIG;UNKNOWN;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;0
511;P111;2;1;5;S;2013;TARA;1352;D;1;COW;ADULT;1;MALE;NO REMARKS;1;HDL;1;1
512;P111;2;1;5;S;2013;TARA;1352;W;4;NILGAI;UNKNOWN;1;MALE;KILL HAPPENED ON 29.05.2013 NIGHT;1;HDL;1;1
513;P213;2;2;6;S;2012;RAMPURAFOREST;1368;W;5;SAMBAR;ADULT;3;UNKNOWN;NO REMARKS;1;HDL;1;1
514;P213;2;2;6;S;2012;RAMPURAFOREST;1368;W;5;SAMBAR;ADULT;1;MALE;PARK CURATOR AND HIS TEAM HAS EYE WITNESSED THE KILL BY P-213;1;HDL;1;1
515;P213;2;2;7;R;2012;TARA;1352;D;1;COW;ADULT;2;FEMALE;OUT OF PARK AREA;1;HDL;1;1
516;P213;2;2;7;R;2012;TARA;1352;W;5;SAMBAR;ADULT;3;UNKNOWN;OUT OF PARK AREA;1;HDL;1;1
517;P213;2;2;8;R;2012;TARA;1352;D;1;COW;ADULT;2;FEMALE;OUT OF PARK AREA.OUTER OF AMANGANJ;1;HDL;1;1
518;P213;2;2;8;R;2012;TARA;1354;D;1;COW;ADULT;2;FEMALE;OUT OF PARK AREA.OUTER OF AMANGANJ;1;buffer_zone;0;0
519;P213;2;2;9;R;2012;TARA;1353;D;1;COW;ADULT;2;FEMALE;OUT OF PARK AREA.OUTER OF AMANGANJ;1;buffer_zone;0;0
520;P213;2;2;9;R;2012;KANDWAHA;1352;W;5;SAMBAR;ADULT;3;UNKNOWN;PANNA PARK;2;core_area;1;1
521;P213;2;2;9;R;2012;JASWANTPURA;1342;D;1;COW;ADULT;1;MALE;OUT OF PARK AREA;1;buffer_zone;0;1
522;P213;2;2;9;R;2012;TARA;1360;D;1;COW;ADULT;1;MALE;OUT OF PARK AREA. 2 DAYS OLD KILL;1;buffer_zone;0;0
523;P213;2;2;9;R;2012;TARA;1365;W;5;SAMBAR;ADULT;1;MALE;1 DAY OLD KILL;1;buffer_zone;0;0
524;P213;2;2;10;R;2012;TARA;1365;D;1;COW;ADULT;1;MALE;OUT OF PARK AREA. KILL WAS NOT EATEN;1;buffer_zone;0;0
525;P213;2;2;10;R;2012;TARA;1365;D;1;COW;ADULT;2;FEMALE;OUT OF PARK AREA;1;buffer_zone;0;1
526;P213;2;2;10;R;2012;TARA;1352;D;1;COW;YOUNG;3;UNKNOWN;OUT OF PARK AREA;1;buffer_zone;1;1
527;P213;2;2;10;R;2012;TARA;1352;W;4;NILGAI;UNKNOWN;2;FEMALE;OUT OF PARK AREA;1;buffer_zone;1;1
528;P213;2;2;10;R;2012;TARA;1352;D;1;COW;YOUNG;3;UNKNOWN;OUT OF PARK AREA;1;buffer_zone;1;1
529;P213;2;2;10;R;2012;TARAPARI;1360;D;1;COW;ADULT;1;MALE;OUT OF PARK AREA. KILL WAS NOT EATEN;1;buffer_zone;0;0
530;P213;2;2;10;R;2012;TARA;1360;D;1;COW;YOUNG;3;UNKNOWN;OUT OF PARK AREA;1;buffer_zone;0;0
531;P213;2;2;11;W;2012;TARA;1365;D;1;COW;YOUNG;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;0
532;P213;2;2;11;W;2012;ckanh;406;D;1;COW;ADULT;2;FEMALE;NO REMARKS;1;buffer_zone;0;0
533;P213;2;2;11;W;2012;JASWANTPURA;1342;D;1;COW;ADULT;1;MALE;10 DAYS OLD KILL.P-213 NEAR T-1 KILL;1;buffer_zone;0;0
534;P213;2;2;11;W;2012;TARA;1365;D;1;COW;YOUNG;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;1
535;P213;2;2;11;W;2012;TARA;1352;D;1;COW;YOUNG;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;0
536;P213;2;2;11;W;2012;MAHUAMOD;1347;D;1;COW;YOUNG;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;1
537;P213;2;2;11;W;2012;TARA;1365;UK;8;UNKNOWN;UNKNOWN;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;0
538;P213;2;2;12;W;2012;TARA;1358;UK;8;UNKNOWN;UNKNOWN;3;UNKNOWN;NO REMARKS;1;HDL;1;1
539;P213;2;2;12;W;2012;TARA;1354;UK;8;UNKNOWN;UNKNOWN;3;UNKNOWN;NO REMARKS;1;buffer_zone;0;0
540;P213;2;2;12;W;2012;RAMPURAFOREST;1368;UK;8;UNKNOWN;UNKNOWN;3;UNKNOWN;NO REMARKS;1;HDL;1;1
